combined_name	loading_pc1	loading_pc2
ratio:Wuhan_RBD_Variant_IgG_week 7 and later / 3 months:Gamma_RBD_Variant_IgG_week 7 and later / 3 months	0.37931076	0.037245736
ratio:Wuhan_RBD_Variant_IgG_week 7 and later / 3 months:P.3_RBD_Variant_IgG_week 7 and later / 3 months	0.37889218	-0.014603406
ratio:Wuhan_RBD_Variant_IgG_week 7 and later / 3 months:Iota_RBD_Variant_IgG_week 7 and later / 3 months	0.37771815	-0.14855874
ratio:Wuhan_RBD_Variant_IgG_week 7 and later / 3 months:Kappa_RBD_Variant_IgG_week 7 and later / 3 months	0.37505144	-0.11083543
ratio:Wuhan_RBD_Variant_IgG_week 7 and later / 3 months:Beta_RBD_Variant_IgG_week 7 and later / 3 months	0.36862594	0.0234247
ratio:Wuhan_RBD_Variant_IgG_week 7 and later / 3 months:Epsilon_RBD_Variant_IgG_week 7 and later / 3 months	0.36596587	-0.03374055
ratio:Wuhan_RBD_Variant_IgG_week 7 and later / 3 months:Delta_RBD_Variant_IgG_week 7 and later / 3 months	0.36540425	-0.05864829
ratio:Wuhan_RBD_Variant_IgG_week 7 and later / 3 months:Alpha_RBD_Variant_IgG_week 7 and later / 3 months	0.15863445	0.5867176
ratio:Wuhan_RBD_Variant_IgG_week 7 and later / 3 months:B.1.526.2_RBD_Variant_IgG_week 7 and later / 3 months	0.026985984	0.78401595
