combined_name	loading_pc1	loading_pc2
ratio:Wuhan_RBD_Variant_IgG_day 28 / week 4:Iota_RBD_Variant_IgG_day 28 / week 4	0.45914546	-0.026184462
ratio:Wuhan_RBD_Variant_IgG_day 28 / week 4:Gamma_RBD_Variant_IgG_day 28 / week 4	0.4104104	0.27276933
ratio:Wuhan_RBD_Variant_IgG_day 28 / week 4:Beta_RBD_Variant_IgG_day 28 / week 4	0.40307367	0.31582388
ratio:Wuhan_RBD_Variant_IgG_day 28 / week 4:P.3_RBD_Variant_IgG_day 28 / week 4	0.39980468	0.30902213
ratio:Wuhan_RBD_Variant_IgG_day 28 / week 4:Kappa_RBD_Variant_IgG_day 28 / week 4	0.3629355	-0.37179318
ratio:Wuhan_RBD_Variant_IgG_day 28 / week 4:Epsilon_RBD_Variant_IgG_day 28 / week 4	0.30522722	-0.42692414
ratio:Wuhan_RBD_Variant_IgG_day 28 / week 4:Delta_RBD_Variant_IgG_day 28 / week 4	0.2598852	-0.45675474
ratio:Wuhan_RBD_Variant_IgG_day 28 / week 4:Alpha_RBD_Variant_IgG_day 28 / week 4	0.07747392	0.42277572
ratio:Wuhan_RBD_Variant_IgG_day 28 / week 4:B.1.526.2_RBD_Variant_IgG_day 28 / week 4	-0.0028563337	-0.14769362
